,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efni/Subject:,Talnaefni Orkustofnunar / Orkustofnun Data Repository,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titill/Title:,Frumorkunotkun á Íslandi 1940-2019/Primary Energy Use in Iceland 1940-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lykilorð/Keyword:,"Frumorka, vatnsafl, jarðhiti, olía, kol, mór, endurnýjanleg orka/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Primary energy, hydropower, geothermal, oil, coal, peat, renewable energy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auðkenni/Identifier:,OS-2020-T007-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Útgáfudagur/Date:,9/25/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Síðast uppfært/Last edition:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Höfundur/Creator:,Orkustofnun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tímabil/Period:,1.1.1940-31.12.2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilvísun:,Orkustofnun (2020). OS-2020-T007-02: Frumorkunotkun á Íslandi 1940-2019 [tölvuskjal].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citation:,Orkustofnun (2020). OS-2020-T007-02: Primary Energy Use in Iceland 1940-2019 [data file].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tafla 1:  Frumorkunotkun á Íslandi 1940-2019.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1: Primary Energy Use in Iceland 1940-2019.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ár,Vatnsafl,Jarðhiti,Olía,Kol,Mór,Vindur,Endurnýjanlegt eldsneyti,Samtals,Hlutdeild   endurnýjanlegra orkugjafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Hydropower,Geothermal,Oil,Coal,Peat,Wind,Renewable fuels,Total,Renewables %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[PJ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,0.2,0.5,0.8,3.8,0.2,,,5.5,12.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,0.2,0.6,0.9,3.6,0.1,,,5.5,14.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,0.3,0.6,1.2,3.7,0.1,,,5.9,14.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,0.3,0.9,1.2,4.0,0.1,,,6.6,18.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,0.3,2.1,1.2,3.8,0.1,,,7.6,31.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,0.4,2.3,1.4,3.4,0.1,,,7.6,34.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,0.4,2.4,2.2,3.7,0.04,,,8.7,32.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,0.5,2.7,3.2,3.7,0.04,,,10.1,31.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,0.6,2.7,4.7,3.8,0.04,,,11.7,27.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,0.6,2.8,5.6,3.1,0.04,,,12.1,27.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,0.6,3.0,6.1,2.6,0.04,,,12.4,29.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,0.6,3.1,6.7,2.2,,,,12.6,29.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
